Algorithm,RMSE,Ticker
MLP,0.2057881483456273,GRND3
Random Forest,0.4019404247916309,GRND3
AdaBoost,0.6524246302479796,GRND3
Gradient Boosting,0.4156726746758431,GRND3
Decision Tree,1.1459816424730365,HBOR3
KNN,1.1427127850907923,HBOR3
MLP,1.18270992577386,HBOR3
Random Forest,1.1450343064827666,HBOR3
AdaBoost,1.1292057325600564,HBOR3
Gradient Boosting,1.1434087370103092,HBOR3
Decision Tree,4.20981319993923,HBRE3
KNN,4.231120543580628,HBRE3
MLP,4.241587383853295,HBRE3
Random Forest,4.218225446346199,HBRE3
AdaBoost,4.265178251198033,HBRE3
Gradient Boosting,4.234562177836409,HBRE3
Decision Tree,3.765791890876903,HYPE3
KNN,3.9440155570561117,HYPE3
MLP,1.527261373573813,HYPE3
Random Forest,3.8594839860648413,HYPE3
AdaBoost,5.09127222977592,HYPE3
Gradient Boosting,3.886461319128221,HYPE3
Decision Tree,1.3746099717648383,IGTI11
KNN,1.2603868675342,IGTI11
MLP,1.232552583267181,IGTI11
Random Forest,1.3359667855426771,IGTI11
AdaBoost,1.2538311323948934,IGTI11
Gradient Boosting,1.2707647657836565,IGTI11
Decision Tree,1.9243112340525776,INTB3
KNN,1.8747489330346185,INTB3
MLP,1.5335630231313713,INTB3
Random Forest,1.9004653812559755,INTB3
AdaBoost,2.342744649088935,INTB3
Gradient Boosting,1.870730334377196,INTB3
Decision Tree,0.6134154326664728,ITSA3
KNN,0.5062205822882817,ITSA3
MLP,0.5010707404607591,ITSA3
Random Forest,0.5585916764243818,ITSA3
AdaBoost,0.5295749556195877,ITSA3
Gradient Boosting,0.5328511700937741,ITSA3
Decision Tree,1.0075622940494726,ITSA4
KNN,0.9522873302772125,ITSA4
MLP,0.948051292313778,ITSA4
Random Forest,0.9867218631752052,ITSA4
AdaBoost,0.9609799433762417,ITSA4
Gradient Boosting,0.9739218840459981,ITSA4
Decision Tree,0.3944648032844675,JHSF3
KNN,0.3895620394717282,JHSF3
MLP,0.37427612415406886,JHSF3
Random Forest,0.3938362118836552,JHSF3
AdaBoost,0.3883812156231132,JHSF3
Gradient Boosting,0.3847488466417871,JHSF3
Decision Tree,1.0604810274837233,KEPL3
KNN,1.063031648230103,KEPL3
MLP,1.0325459229959861,KEPL3
Random Forest,1.053460059306969,KEPL3
AdaBoost,1.0233044770223323,KEPL3
Gradient Boosting,1.0437565491112746,KEPL3
Decision Tree,3.9741792621086316,LAVV3
KNN,3.9805495367454307,LAVV3
MLP,3.9758875315683864,LAVV3
Random Forest,3.973847111969423,LAVV3
AdaBoost,3.974594774605911,LAVV3
Gradient Boosting,3.971908513612216,LAVV3
Decision Tree,0.8514018245623659,LEVE3
KNN,0.7511514646508772,LEVE3
MLP,0.8838128717247963,LEVE3
Random Forest,0.7846999845393966,LEVE3
AdaBoost,1.0140804675373156,LEVE3
Gradient Boosting,0.7504104557010567,LEVE3
Decision Tree,3.133907173472403,LOGG3
KNN,3.117071037188317,LOGG3
MLP,3.1587175813154573,LOGG3
Random Forest,3.0866319276412844,LOGG3
AdaBoost,3.0971730522210734,LOGG3
Gradient Boosting,3.10464541245134,LOGG3
Decision Tree,2.022541160631688,MDNE3
