"papel","descricao_papel","cotacao","PSL","PSVP","PSR","div_yield","PSA","PSCG","PSEBIT","PSACL","EV_EBIT","EV_EBITDA","margem_EBIT","margem_liq","liq_corrente","ROIC","ROE","liq_2meses","PL","div_bruta_PL","taxa_cresc_RL_5anos"
"VIVT3","TELEF BRASIL",50.55,15.51,1.21,1.524,0.0511,0.676,-90.18,10.03,-2.65,11.53,4.31,0.1519,0.0986,0.96,0.0777,0.078,116315000,69028600000,0.28,0.0649
"IGTI11","IGUATEMI S.A",19.76,15.7,1.39,4.964,0.0199,0.71,4.73,9.18,-2.84,12.12,9.44,0.5408,0.3166,2.69,0.0957,0.0887,54283500,4263750000,0.82,0.1618
"ILMD3","YARA BRASIL FERTILIZANTES S.A.",29,15.73,2.63,0.683,0,1.395,5.7,14.13,7.53,13.13,13.13,0.0484,0.0492,1.6,0.1252,0.1669,0,658715000,0.02,0.0065
"BPAC3","BTGP BANCO",15.7,15.86,3.21,0,0.0167,0,0,0,0,0,0,0,0,0,0,0.2025,76294.1,56270400000,0,0.1446
"CRTP5","CELULAR CRT PARTICIPAÇÕES S/A",62.1,15.98,1.71,1.748,0,1.127,3.98,14.09,5.88,12.48,12.48,0.124,0.1094,2.14,0.1236,0.1068,0,1210570000,0.12,0.1011
"EMBR3","EMBRAER",56.25,16.03,2.44,1.326,0,0.655,3.29,14.71,-4.31,16.96,11.59,0.0902,0.0853,1.56,0.0578,0.1522,279439000,17073700000,0.84,0.1991
"BRAV3","BRAVA",18,16.18,0.74,0.969,0.0111,0.232,1.66,4.47,-0.54,10.06,6.07,0.2168,0.0608,2.19,0.0673,0.0459,129676000,11245700000,1.49,1.3992
"IGTA3","IGUATEMI",33.13,16.19,1.48,5.59,0,0.9,4.05,10.84,-7.8,12.56,12.56,0.5155,0.3457,5.14,0.1064,0.0913,0,3909210000,0.59,0.1231
"ILMD4","YARA BRASIL FERTILIZANTES S.A.",30,16.28,2.72,0.707,0,1.443,5.89,14.62,7.79,13.62,13.62,0.0484,0.0492,1.6,0.1252,0.1669,0,658715000,0.02,0.0065
"DURA4","DURATEX",31.39,16.35,2.22,2.182,0,1.224,17.24,10.12,-10.49,11.47,11.47,0.2156,0.1339,1.27,0.1438,0.1359,0,1789980000,0.52,0.1094
"DESK3","DESKTOPSIGMA",13.21,16.35,1.15,1.389,0.0032,0.384,2.33,4.36,-1.08,6.84,4.33,0.3185,0.0979,2.19,0.119,0.0703,2076400,1328380000,1.37,0.3145
"BAUH4","EXCELSIOR",78.75,16.45,3.43,1.715,0.0104,2.334,14.45,20.32,16.53,18.4,14.32,0.0844,0.1042,1.54,0.2015,0.2087,15168.2,119769000,0,0.0704
"BSLI3","BRB",8.5,16.47,1.33,0,0.0075,0,0,0,0,0,0,0,0,0,0,0.0809,4370.74,2538240000,0,0.0422
"DURA3","DURATEX",31.9,16.62,2.26,2.218,0,1.244,17.52,10.29,-10.66,11.64,11.64,0.2156,0.1339,1.27,0.1438,0.1359,0,1789980000,0.52,0.1094
"DPPI3","IPIRANGA DISTRIBUIDORA",85,16.65,4.99,-1.453,0,3.753,8.7,190.72,9.75,177.18,177.18,-0.0076,-0.0504,3.14,0.03,0.2997,0,545227000,0.06,0.1514
"FRAS3","FRAS-LE S.A.",20,16.79,2.64,1.5,0.0305,1.219,3.51,10.96,13.29,11.59,9,0.1369,0.0927,2.26,0.1576,0.1571,5980400,2046740000,0.56,0.2377
"FESA3","FERBASA",12.34,17.01,1.3,2.008,0.0328,1.004,3.48,19.51,5.11,17.15,8.14,0.1029,0.1182,3.24,0.0662,0.0763,3593.55,3357460000,0.09,0.1049
"TIMP3","TIM PARTICIPAÇÕES S.A.",13.46,17.13,1.43,1.903,0,0.818,15.37,9.79,-3.78,9.72,3.77,0.1944,0.1111,1.34,0.0967,0.0833,0,22847800000,0.14,0.0229
"BSLI4","BRB",8.85,17.15,1.39,0,0.0079,0,0,0,0,0,0,0,0,0,0,0.0809,5728.81,2538240000,0,0.0422
"BMTO4","BRASMOTOR S.A",7.57,17.27,2.07,0,0,2.03,0,-2625.16,0,-2624.05,-1477.48,0,0,0,0,0.12,0,1046320000,0,0
"GGPS3","GPS",17.44,17.5,3.43,0.869,0.0182,0.813,2.67,10.75,-3.56,12.55,9.48,0.0809,0.0502,2.33,0.1017,0.1958,36778400,3435580000,1.51,0.2506
"RDOR3","REDE D OR",28.23,17.51,2.64,1.304,0.0223,0.66,2.05,8.83,-2.78,8.91,7.41,0.1476,0.0765,2.89,0.1195,0.1508,144591000,24469300000,1.46,0.4002
"BFIT4","BANCO SUDAMERIS BRASIL SA",0.93,17.55,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0.1115,0,1849420000,0,0.3567
"LUXM4","TREVISA INVESTIMENTOS SA",11.9,17.62,1.9,1.879,0.0187,1.389,241.77,13.27,-9.42,13.14,7.46,0.1416,0.1066,1.05,0.1125,0.1076,2518.33,130398000,0.05,0.0523
"NINJ3","GETNINJAS",4.66,17.81,0.81,3.893,0,0.757,0.83,-12.47,0.83,2.96,4.04,-0.3123,0.2186,16.47,-1.5593,0.0453,262622,293687000,0,0.0174
"BMTO3","BRASMOTOR S.A",7.82,17.84,2.14,0,0,2.097,0,-2711.85,0,-2710.74,-1526.3,0,0,0,0,0.12,0,1046320000,0,0
"DXCO3","DEXCO",7.35,17.91,0.91,0.743,0.039,0.325,3.34,6.57,-0.94,11.98,4.96,0.113,0.0428,1.49,0.0604,0.051,28132700,6607770000,1.08,0.0765
"UCOP4","USINA COSTA PINTO S/A AÇÚCAR E ÁLCOOL",6.5,18.01,1.3,19.05,0,0.844,5.14,22.7,-8.61,24.17,41.56,0.8392,1.1051,13.37,0.0391,0.0723,0,972713000,0.16,0.0925
"EQTL3","EQUATORIAL ENERGIA S.A.",32.5,18.25,1.58,0.922,0.0127,0.361,4.69,4.12,-0.73,8.33,6.88,0.2238,0.074,1.47,0.101,0.0865,239424000,25676500000,2.01,0.2596
"SUZB3","Suzano Papel",60.79,18.38,1.85,1.763,0.02,0.502,3.98,5.85,-1.01,11.22,6.91,0.3015,0.0965,2.17,0.1005,0.1008,318558000,41470800000,2.12,0.0981
"MGLU3","MAGAZ LUIZA",9.14,18.45,0.61,0.179,0,0.189,1.97,3.8,-0.98,5.5,3.17,0.0471,0.0097,1.24,0.0716,0.0331,244592000,11064900000,0.44,0.0862
